filename,file type,folder,registration,suggested skill,suggested subfolder,is_zone_identifier
VK11YMX CUSTOMER PAB TOTAL LOSS REPORT.pdf,pdf,totalLoss,VK11YMX,total-loss-assessment,totalLoss,0
VU68JVX Valuation report.pdf,pdf,totalLoss,VU68JVX,vehicle-valuation,totalLoss,0
VX12AZB AUDIT REPORT.pdf,pdf,totalLoss,VX12AZB,total-loss-assessment,totalLoss,0
WG55NHC.pdf,pdf,totalLoss,WG55NHC,total-loss-assessment,totalLoss,0
WN08FNZ.pdf,pdf,totalLoss,WN08FNZ,total-loss-assessment,totalLoss,0
WU09VPJ.pdf,pdf,totalLoss,WU09VPJ,total-loss-assessment,totalLoss,0
X673BAA AUDIT PAV.pdf,pdf,totalLoss,X673BAA,total-loss-assessment,totalLoss,0
YE19UMR.pdf,pdf,totalLoss,YE19UMR,total-loss-assessment,totalLoss,0
YE55XGP...pdf,pdf,totalLoss,YE55XGP,total-loss-assessment,totalLoss,0
YF16YZL.pdf,pdf,totalLoss,YF16YZL,total-loss-assessment,totalLoss,0
YG10LWL PAV UPLIFT.pdf,pdf,totalLoss,YG10LWL,vehicle-valuation,totalLoss,0
YG57YOO BODYSHOP CLIENT REPORT.pdf,pdf,totalLoss,YG57YOO,total-loss-assessment,totalLoss,0
YH14FEJ PAV UPDATED CUSTOMERS PAV.pdf,pdf,totalLoss,YH14FEJ,vehicle-valuation,totalLoss,0
YH14FEJ UPDATED CUSTOMERS PAV.pdf,pdf,totalLoss,YH14FEJ,vehicle-valuation,totalLoss,0
YP15OKF REPORT.pdf,pdf,totalLoss,YP15OKF,total-loss-assessment,totalLoss,0
YW16EBD Figs.pdf,pdf,totalLoss,YW16EBD,total-loss-assessment,totalLoss,0
YX55WJF AUDIT PAV.pdf,pdf,totalLoss,YX55WJF,total-loss-assessment,totalLoss,0
YX55WJF.pdf,pdf,totalLoss,YX55WJF,total-loss-assessment,totalLoss,0
YY25UFM.pdf,pdf,totalLoss,YY25UFM,total-loss-assessment,totalLoss,0
CA60KJO PAV AUIDT TOTAL LOSS REPORT.pdf,pdf,totalLoss,CA60KJO,vehicle-valuation,,0
KP15NRJ TOTAL LOSS AUDIT REPORT.pdf,pdf,totalLoss,KP15NRJ,total-loss-assessment,,0
pe57ucy pav total loss report.pdf,pdf,totalLoss,PE57UCY,vehicle-valuation,,0
RE20VRJ.pdf,pdf,totalLoss,RE20VRJ,total-loss-assessment,,0
SD58RXB PAV TOTAL LOSS REPORT.pdf,pdf,totalLoss,SD58RXB,vehicle-valuation,,0
WF10XAS PAV TOTAL LOSS REPORT.pdf,pdf,totalLoss,WF10XAS,vehicle-valuation,,0
WF66ULA TOTAL LOSS REPORT.pdf,pdf,totalLoss,WF66ULA,total-loss-assessment,,0
YE60OJZ PAV TOTAL LOSS REPORT.pdf,pdf,totalLoss,YE60OJZ,vehicle-valuation,,0
